,SizeRank,ZipCode,State,City,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023,12/31/2023
878,11921.0,79745.0,TX,Kermit,62248.34211,70283.91028,91750.24412,107962.8558,118303.4606,108302.3367,
879,11966.0,79821.0,TX,Vinton,125462.5971,127136.8711,131854.6575,143324.2084,163481.1704,185939.0792,
880,11972.0,77565.0,TX,Kemah,276618.9892,287695.0201,290418.5726,314966.8247,370955.092,387948.1279,
881,11978.0,75491.0,TX,Whitewright,181456.6208,197325.6052,203547.3276,225942.4688,278782.1643,311737.9405,
882,11982.0,78226.0,TX,San Antonio,91399.84268,99356.08258,103091.1649,117660.852,127726.5169,147941.1387,
883,12042.0,76633.0,TX,China Spring,253090.1273,267470.2956,291680.3587,324349.8915,392243.9331,424923.5821,
884,12082.0,79411.0,TX,Lubbock,76330.90496,77570.26057,74532.1558,86332.32286,99931.16842,113853.0586,
885,12086.0,76437.0,TX,Cisco,66726.69747,74530.32564,81090.99735,89754.41666,113169.4844,125307.2358,
886,12093.0,78605.0,TX,Bertram,202864.545,218056.9001,250921.0864,292547.065,387025.9289,410076.3173,
887,12114.0,78203.0,TX,San Antonio,79736.8918,104780.0528,114537.2986,136478.5265,159216.6081,177323.8679,
888,12124.0,78722.0,TX,Austin,430494.2121,443939.1126,464086.3937,527651.035,624070.0393,657206.0794,
889,12129.0,75755.0,TX,Big Sandy,132619.5293,136709.1117,149155.7834,165620.6543,198935.4172,215720.4798,
890,12188.0,75158.0,TX,Scurry,201699.7763,218729.2465,234583.768,260751.7278,336036.6472,345982.743,
891,12200.0,77360.0,TX,Onalaska,131308.781,137419.2808,137689.511,151674.6786,175186.1975,184900.3341,
892,12264.0,75459.0,TX,Howe,191682.9189,204906.9126,210944.0507,229733.0119,272581.9998,302774.5442,
893,12269.0,76825.0,TX,Brady,79964.45112,86905.01516,85155.69215,89059.57456,103843.412,115460.3938,
